"primary_genre","spend_thousand_usd","watch_hours","hours_per_1000_usd"
"Animation",868312,180093,0.207
"Kids & Family",582701,103119,0.177
"Documentary",1701154,291218,0.171
"Action",2312734,393172,0.170
"Crime",1456105,237436,0.163
"Drama",3204980,501885,0.157
"Comedy",2762030,423148,0.153
"Fantasy",835817,127839,0.153
"Thriller",2034649,307026,0.151
"Romance",1437719,214333,0.149
"Mystery",578104,82553,0.143
"Reality",730723,103956,0.142
"Sci-Fi",1097227,154332,0.141
"Musical",283594,39024,0.138
"Stand-Up",265254,36305,0.137
"Horror",1063219,138035,0.130
