"country","watch_hours","total_titles","hours_per_title"
"United States",822684.7,2265,363.2
"India",464337.8,1163,399.3
"United Kingdom",282946.4,769,367.9
"South Korea",223476.4,636,351.4
"Japan",207130.9,556,372.5
"Brazil",176353.6,447,394.5
"Mexico",157176.9,441,356.4
"Spain",143656.4,419,342.9
"France",115011.8,377,305.1
"Canada",107073.0,297,360.5
"Germany",96934.4,330,293.7
"Turkey",82720.0,186,444.7
"Australia",76149.8,161,473.0
"Indonesia",71049.9,152,467.4
"Italy",65616.4,194,338.2
"Nigeria",63962.0,152,420.8
"Argentina",46905.0,135,347.4
"Thailand",46826.9,129,363.0
"Sweden",42681.3,98,435.5
"Egypt",40774.4,93,438.4
