"release_year","total_titles","watch_hours","hours_per_title"
1969,66,24762.5,375.2
1970,58,16432.8,283.3
1971,55,20331.8,369.7
1972,59,18942.7,321.1
1973,55,17519.0,318.5
1974,43,6978.1,162.3
1975,68,23483.6,345.3
1976,59,18484.2,313.3
1977,63,16426.2,260.7
1978,54,9206.0,170.5
1979,66,15659.4,237.3
1980,69,19536.8,283.1
1981,67,19978.0,298.2
1982,55,23197.6,421.8
1983,68,18056.8,265.5
1984,62,13076.5,210.9
1985,79,22937.6,290.3
1986,67,22961.4,342.7
1987,73,15564.5,213.2
1988,79,29619.8,374.9
1989,77,17829.9,231.6
1990,66,18822.2,285.2
1991,76,16927.8,222.7
1992,74,55554.2,750.7
1993,71,21334.2,300.5
1994,87,20785.2,238.9
1995,72,24079.2,334.4
1996,78,22500.2,288.5
1997,93,25666.7,276.0
1998,86,27863.8,324.0
1999,93,35826.6,385.2
2000,118,36912.7,312.8
2001,80,18636.5,233.0
2002,109,33043.4,303.2
2003,93,20403.8,219.4
2004,84,24256.5,288.8
2005,87,23118.6,265.7
2006,111,33431.1,301.2
2007,112,37709.0,336.7
2008,107,31090.0,290.6
2009,108,35562.6,329.3
2010,118,34250.0,290.3
2011,125,51186.8,409.5
2012,118,35510.4,300.9
2013,124,49677.4,400.6
2014,134,49566.2,369.9
2015,172,46185.7,268.5
2016,166,66797.5,402.4
2017,171,54350.5,317.8
2018,183,59512.4,325.2
2019,204,87579.0,429.3
2020,259,99698.9,384.9
2021,259,115033.0,444.1
2022,279,114510.9,410.4
2023,321,120360.7,375.0
2024,415,167019.9,402.5
2025,626,302894.1,483.9
2026,2179,924824.7,424.4
