primary_genre,Total_Hours,Total_Plays,Avg_Completion
Action,393171.9166666667,77300,64.81250064683053
Animation,180093.93833333332,29208,66.38354902766365
Comedy,423149.05333333334,84455,65.31633414244273
Crime,237435.83833333335,44153,65.46129368332842
Documentary,291216.8983333333,57786,65.1277575883432
Drama,501884.4666666667,95624,65.10416840960428
Fantasy,127838.85,26407,65.96807285946907
Horror,138033.605,28122,65.25953346134699
Kids & Family,103118.06666666667,18338,65.30925946122805
Musical,39023.39166666667,7425,66.83478787878788
Mystery,82552.37333333334,18074,65.55897974991701
Reality,103954.90666666666,19159,64.70008351166553
Romance,214332.30166666667,44210,65.00470707984618
Sci-Fi,154332.20833333334,33157,65.7933679162771
Stand-Up,36305.255,7993,66.3197297635431
Thriller,307024.66333333333,58589,65.307924695762
