subscriber_id,signup_date,country,region,age,gender,plan_type,monthly_price_usd,household_size,primary_device,payment_method,tenure_months,is_active,churn_date
SUB100000,2023-01-09,France,Europe,22,Female,Basic with Ads,6.99,1,Mobile,Credit Card,41,True,2026-05-30
SUB100001,2020-02-05,United Kingdom,Europe,48,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,76,False,2022-12-08
SUB100002,2022-04-15,Italy,Europe,35,Male,Standard,15.49,2,Streaming Stick,Gift Card,50,True,2026-05-30
SUB100003,2024-10-10,Spain,Europe,49,Female,Basic with Ads,6.99,1,Laptop,Credit Card,19,True,2026-05-30
SUB100004,2020-04-12,United States,North America,36,Female,Basic with Ads,6.99,1,Mobile,Credit Card,74,False,2021-12-15
SUB100005,2020-10-11,Thailand,Southeast Asia,48,Female,Standard,15.49,1,Laptop,Debit Card,68,True,2026-05-30
SUB100006,2023-08-27,France,Europe,32,Male,Basic with Ads,6.99,1,Game Console,Debit Card,33,False,2024-10-19
SUB100007,2025-08-13,Germany,Europe,56,Female,Standard,15.49,1,Smart TV,Credit Card,9,True,2026-05-30
SUB100008,2022-08-14,United States,North America,42,Female,Standard,15.49,1,Mobile,Debit Card,46,True,2026-05-30
SUB100009,2019-07-28,United Kingdom,Europe,25,Male,Basic with Ads,6.99,1,Tablet,Credit Card,83,False,2020-07-22
SUB100010,2019-07-25,India,South Asia,44,Female,Premium,22.99,2,Game Console,Credit Card,83,True,2026-05-30
SUB100011,2022-06-05,Australia,Oceania,36,Male,Standard,15.49,1,Laptop,Credit Card,48,True,2026-05-30
SUB100012,2026-04-06,Brazil,Latin America,33,Female,Premium,22.99,3,Mobile,Credit Card,1,False,2026-05-08
SUB100013,2026-01-30,Canada,North America,37,Male,Basic with Ads,6.99,1,Mobile,Credit Card,4,True,2026-05-30
SUB100014,2024-03-06,United Kingdom,Europe,45,Male,Standard,15.49,2,Smart TV,Debit Card,27,True,2026-05-30
SUB100015,2024-09-08,United States,North America,13,Female,Standard,15.49,2,Laptop,Debit Card,21,True,2026-05-30
SUB100016,2022-10-22,Japan,East Asia,31,Female,Premium,22.99,2,Laptop,Debit Card,43,True,2026-05-30
SUB100017,2025-04-27,United States,North America,44,Male,Basic with Ads,6.99,1,Mobile,Credit Card,13,False,2025-08-06
SUB100018,2019-02-18,Canada,North America,39,Male,Standard,15.49,2,Streaming Stick,Mobile Wallet,88,False,2023-03-15
SUB100019,2025-11-19,Brazil,Latin America,21,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,6,True,2026-05-30
SUB100020,2021-04-29,France,Europe,13,Male,Premium,22.99,3,Mobile,Credit Card,61,False,2023-03-09
SUB100021,2025-06-06,India,South Asia,58,Female,Standard,15.49,2,Laptop,Debit Card,12,True,2026-05-30
SUB100022,2024-08-09,Thailand,Southeast Asia,33,Male,Standard,15.49,1,Streaming Stick,Debit Card,22,True,2026-05-30
SUB100023,2022-01-27,Turkey,Middle East,55,Male,Standard,15.49,2,Smart TV,Debit Card,52,True,2026-05-30
SUB100024,2022-12-28,France,Europe,46,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,41,True,2026-05-30
SUB100025,2023-10-18,United States,North America,25,Male,Basic with Ads,6.99,1,Mobile,Debit Card,31,False,2025-06-12
SUB100026,2023-06-01,South Korea,East Asia,13,Female,Standard,15.49,2,Laptop,Debit Card,36,True,2026-05-30
