Signup Month,Subscribers,Active,Retention %
2016-01,4,2,50.0
2016-02,9,7,77.78
2016-03,12,10,83.33
2016-04,13,11,84.62
2016-05,20,12,60.0
2016-06,21,15,71.43
2016-07,17,12,70.59
2016-08,24,18,75.0
2016-09,21,16,76.19
2016-10,33,25,75.76
2016-11,24,19,79.17
2016-12,39,27,69.23
2017-01,30,17,56.67
2017-02,39,32,82.05
2017-03,34,23,67.65
2017-04,37,29,78.38
2017-05,52,34,65.38
2017-06,45,36,80.0
2017-07,55,40,72.73
2017-08,35,25,71.43
2017-09,51,30,58.82
2017-10,65,50,76.92
2017-11,55,36,65.45
2017-12,71,53,74.65
2018-01,67,46,68.66
2018-02,52,39,75.0
2018-03,71,46,64.79
2018-04,71,52,73.24
2018-05,51,38,74.51
2018-06,83,62,74.7
2018-07,57,41,71.93
2018-08,77,57,74.03
2018-09,73,51,69.86
2018-10,72,53,73.61
2018-11,83,67,80.72
2018-12,79,55,69.62
2019-01,81,55,67.9
2019-02,82,55,67.07
2019-03,79,59,74.68
2019-04,76,64,84.21
2019-05,81,61,75.31
2019-06,94,69,73.4
2019-07,93,68,73.12
2019-08,96,69,71.88
2019-09,85,63,74.12
2019-10,91,68,74.73
2019-11,112,77,68.75
2019-12,85,57,67.06
2020-01,103,82,79.61
2020-02,115,80,69.57
2020-03,95,66,69.47
2020-04,120,88,73.33
2020-05,86,65,75.58
2020-06,110,74,67.27
2020-07,117,91,77.78
2020-08,130,85,65.38
2020-09,113,76,67.26
2020-10,121,82,67.77
2020-11,119,81,68.07
2020-12,120,78,65.0
2021-01,128,89,69.53
2021-02,113,75,66.37
2021-03,113,80,70.8
2021-04,126,91,72.22
2021-05,135,101,74.81
2021-06,117,86,73.5
2021-07,146,100,68.49
2021-08,126,90,71.43
2021-09,140,94,67.14
2021-10,145,110,75.86
2021-11,168,121,72.02
2021-12,126,87,69.05
2022-01,152,127,83.55
2022-02,117,84,71.79
2022-03,139,102,73.38
2022-04,132,101,76.52
2022-05,157,124,78.98
2022-06,159,115,72.33
2022-07,137,94,68.61
2022-08,153,106,69.28
2022-09,165,118,71.52
2022-10,127,94,74.02
2022-11,147,96,65.31
2022-12,151,107,70.86
2023-01,168,120,71.43
2023-02,136,102,75.0
2023-03,170,130,76.47
2023-04,158,105,66.46
2023-05,164,118,71.95
2023-06,167,133,79.64
2023-07,150,111,74.0
2023-08,155,114,73.55
2023-09,160,126,78.75
2023-10,177,137,77.4
2023-11,154,128,83.12
2023-12,185,143,77.3
2024-01,169,137,81.07
2024-02,177,144,81.36
2024-03,165,133,80.61
2024-04,198,154,77.78
2024-05,182,151,82.97
2024-06,196,145,73.98
2024-07,175,136,77.71
2024-08,190,134,70.53
2024-09,178,134,75.28
2024-10,178,144,80.9
2024-11,177,143,80.79
2024-12,190,138,72.63
2025-01,190,148,77.89
2025-02,171,128,74.85
2025-03,177,138,77.97
2025-04,197,152,77.16
2025-05,222,168,75.68
2025-06,200,158,79.0
2025-07,225,172,76.44
2025-08,221,172,77.83
2025-09,214,181,84.58
2025-10,198,143,72.22
2025-11,225,179,79.56
2025-12,217,170,78.34
2026-01,232,193,83.19
2026-02,180,145,80.56
2026-03,214,170,79.44
2026-04,210,159,75.71
2026-05,223,172,77.13
