country_x,Subscribers,Watch_Hours,Revenue,Avg_Completion
United States,3774,910551.1983333334,2703190.81,65.22542102982798
India,1872,380917.68166666664,1133637.29,65.2591645308034
United Kingdom,1266,285346.35,801822.1,65.41363864491844
South Korea,1096,239498.93,721726.94,65.46230228849718
Brazil,835,206648.2,628718.58,65.09414170279858
Japan,842,171707.98333333334,512186.76999999996,65.46675941716782
France,660,167418.18833333332,490358.49,65.47510982765506
Mexico,749,143971.78666666665,443197.95999999996,65.48240754013761
Spain,671,137107.41333333333,420596.77999999997,65.22795075218922
Germany,573,136936.37833333333,397937.7,65.38640707298721
Canada,517,102932.63333333333,295147.07,65.2460772863454
Turkey,310,80659.81833333333,231147.22,65.40276334136139
Italy,363,68797.50166666666,203993.62,65.28644474433948
Nigeria,251,60974.76666666667,172020.0,65.53282845188285
Australia,263,59639.73,196198.56,65.17004504504504
Argentina,224,47033.96333333333,148441.86,65.42770342043765
Indonesia,228,44889.835,124016.2,65.3501138952164
Thailand,195,31922.346666666668,95451.84,65.19296975546976
Egypt,166,30955.226666666666,91055.75,65.18863673469389
Sweden,143,25557.801666666666,75363.95999999999,65.10876059749697
