KPI,Value
Total Subscribers,15000.0
Active Subscribers,11199.0
Active Rate (%),74.66
Churned Subscribers,15000.0
Churn Rate (%),100.0
Total Watch Hours,3333467.73
Average Watch Hours,5.13
Completion Rate (%),65.31
Monthly Revenue,227772.0
MRR,175868.51
ARPU,15.7
Total Titles,9000.0
Movies,5336.0
TV Shows,3664.0
Original Titles,1966.0
Licensed Titles,7034.0
Average Rating,3.55
Total Reviews,110000.0
Watchlist Items,65000.0
Watchlist Conversion (%),46.23
Original Watch Hour Share (%),27.17
Average Watch Time per Subscriber,222.26
