title_name,Watch_Hours,Plays,Completion
Gilded Throne,35443.44,3482,72.02237219988513
The Shadows of Marseille IV,22538.22,4436,60.96909377817855
The Cipher of Madrid II,16659.995,3028,67.09818361955085
The Reckoning of Lagos II,14778.55,614,61.71726384364821
Hamburg Frequency IV,13963.478333333333,1792,70.83800223214286
Broken Toronto II,11902.905,1043,62.70479386385426
Jakarta Odyssey IV,11440.023333333333,1513,67.5095175148711
Marseille Circuit II,10967.338333333333,565,65.5753982300885
The Sanctuary of Toronto III,10844.841666666667,460,71.87847826086956
Distant Cairo III,10266.908333333333,338,70.09792899408284
Mumbai Harvest II,9948.031666666666,423,62.604728132387706
Savage Jakarta II,9023.32,428,72.07827102803738
The Reckoning of Naples II,8863.753333333334,596,68.8505033557047
Midnight Sydney III,8669.206666666667,450,55.04222222222222
Broken Heist,8601.19,1927,61.993565127140634
Brilliant Lagos II,8379.421666666667,493,62.950709939148076
Shattered Bangkok IV,8013.843333333333,405,61.837283950617284
Lagos Cipher II,7763.258333333333,1681,63.8459250446163
Endless Anatomy,6879.656666666667,600,62.54466666666667
The Paradox of Oslo,6650.568333333334,432,78.61296296296297
Neon Cairo,6573.086666666667,350,63.876285714285714
Midnight Frequency,6482.231666666667,292,72.38664383561644
The Algorithm of Sydney V,6480.71,503,73.20477137176938
The Crown of Bogota V,6258.0,121,76.05785123966942
Shattered Sydney II,6204.691666666667,218,79.64954128440367
Velvet Jakarta IV,5941.586666666667,414,70.00748792270531
Tender Lagos V,5685.403333333334,357,77.05826330532213
Lost Lisbon III,5002.65,454,70.33480176211454
Lagos Odyssey III,4958.068333333334,224,66.40535714285714
Rising Detroit III,4923.955,988,65.00647773279353
Crooked Jakarta II,4915.995,163,70.68466257668712
Shattered Sydney,4897.4783333333335,513,75.76939571150096
The Kingdom of Lisbon III,4776.735,532,62.35263157894737
Bogota Kingdom II,4754.88,297,51.31279461279461
The Syndicate of Detroit III,4575.475,266,67.89736842105263
The Garden of Oslo IV,4541.016666666666,118,81.44661016949154
Restless Kingdom,4443.865,220,72.83590909090908
Neon Istanbul II,4428.195,114,64.74035087719298
Phantom Promise,4355.776666666667,185,65.95513513513514
Tender Empire III,4345.715,159,61.00817610062892
Midnight Madrid III,4229.683333333333,691,62.4616497829233
The Tide of Oslo IV,4091.1966666666667,4358,56.32670949977054
Sydney Legacy,4082.5983333333334,228,69.76447368421053
Cairo Harvest II,4075.1916666666666,239,65.24728033472803
The Verdict of Bangkok,3999.1283333333336,258,53.57829457364341
Frozen Cairo,3949.1349999999998,244,69.7655737704918
The Verdict of Mumbai IV,3938.255,104,74.74038461538461
Restless Shadows III,3887.4066666666668,2476,67.77100161550888
The Lighthouse of Seoul III,3817.8733333333334,405,71.41259259259259
The Heist of Lisbon V,3775.9533333333334,100,68.65100000000001
Endless Odyssey II,3743.75,192,83.56302083333334
Falling River,3711.911666666667,181,66.58397790055248
The Promise of Madrid II,3648.726666666667,231,63.18571428571428
Burning Berlin,3587.173333333333,212,63.611792452830194
Reckless Seoul VI,3554.2833333333333,204,67.01225490196079
The Algorithm of Madrid II,3542.485,107,81.74485981308412
Naples Heist III,3540.2666666666664,247,69.8
Frozen Oslo IV,3530.725,114,68.82543859649122
Tokyo Verdict VI,3523.6833333333334,64,57.83125
Lost Expedition,3510.6483333333335,186,76.25967741935483
The Mirror of Detroit VI,3502.0116666666668,205,59.93707317073171
Golden Oslo,3491.7966666666666,234,61.746153846153845
Whispering Sanctuary II,3468.3,255,70.65725490196078
Sacred Harvest,3433.8116666666665,106,79.3933962264151
The Legacy of Toronto II,3387.9583333333335,426,67.97488262910798
Burning Naples II,3295.048333333333,160,71.84
The River of Cairo IV,3284.6016666666665,108,71.61851851851851
Bangkok Kingdom III,3258.193333333333,93,84.8258064516129
Last Naples IV,3253.62,160,77.4675
Bangkok Algorithm,3207.2916666666665,110,80.99363636363636
Last Lagos III,3192.528333333333,150,66.50800000000001
Glass Marseille III,3169.275,115,58.9495652173913
Reckless Ledger IV,3146.4533333333334,118,72.25762711864407
The Mirror of Istanbul,3129.463333333333,132,65.13030303030304
The Harvest of Lisbon V,3115.773333333333,90,75.9211111111111
Detroit Paradox II,3107.7,182,65.04340659340659
The Inheritance of Marseille III,3102.44,83,62.57108433734939
Golden Protocol,3070.3816666666667,270,72.12777777777778
The River of Lagos IV,3063.3533333333335,124,71.60806451612903
The Protocol of Mumbai V,3050.1033333333335,174,63.20747126436782
Cairo Kingdom IV,3046.6883333333335,72,69.60138888888889
Hollow Tokyo,3044.193333333333,281,72.21992882562277
Jakarta Verdict,3019.911666666667,132,75.25530303030304
Toronto Storm III,3019.4733333333334,90,61.0
Seoul Sanctuary V,2972.096666666667,150,86.40066666666667
Forgotten Berlin IV,2970.1966666666667,94,75.9531914893617
The Kingdom of Naples,2944.4283333333333,127,65.49370078740158
Marseille Paradox IV,2939.2116666666666,286,62.28426573426573
Oslo Crown V,2933.2916666666665,114,72.0763157894737
Sydney Sanctuary,2929.9133333333334,164,59.35426829268293
The Pact of Cairo,2907.903333333333,191,67.9696335078534
Detroit Garden,2901.2916666666665,247,60.70323886639677
The Frequency of Jakarta,2895.995,95,66.84947368421052
Scarlet Lisbon II,2895.8983333333335,168,82.08690476190476
Silent Throne,2892.3433333333332,63,73.0142857142857
Oslo Syndicate,2887.6316666666667,51,57.615686274509805
Quiet Paradox II,2886.105,257,58.034630350194554
The Inheritance of Bogota III,2881.326666666667,93,67.05913978494624
Whispering Inheritance,2872.0583333333334,134,71.44328358208955
The Affair of Sydney VII,2870.588333333333,175,64.48628571428571
Cairo Horizon II,2867.19,340,60.52382352941176
Reckless Mirror III,2832.3616666666667,170,74.38
Bitter Lagos V,2812.735,86,59.24883720930232
Cairo Anatomy,2797.1,106,73.30754716981133
The Paradox of Tokyo,2796.0466666666666,77,71.76103896103896
Last Bogota II,2785.1716666666666,107,71.50654205607476
The Reckoning of Seoul IV,2782.935,84,70.19166666666668
Berlin Promise IV,2774.1433333333334,88,75.78068181818182
Endless Pact,2758.4,128,66.309375
Golden Istanbul VI,2728.798333333333,126,56.99126984126984
Reckless Expedition II,2707.6433333333334,204,82.95196078431373
The Horizon of Istanbul VI,2705.415,101,83.7039603960396
Phantom Crown,2688.0733333333333,286,69.27762237762238
Jakarta Protocol,2683.11,129,61.9046511627907
Oslo Paradox,2676.621666666667,145,84.16344827586208
Velvet Pact III,2669.891666666667,1079,57.54355885078777
Distant Garden,2667.028333333333,316,60.289240506329115
Seoul Empire,2665.75,96,72.81666666666666
Wild Verdict II,2636.175,114,83.78508771929825
Bitter Lagos IV,2628.7683333333334,68,75.80147058823529
Velvet Sydney,2620.6866666666665,97,58.85979381443298
Shattered Mumbai II,2613.878333333333,210,70.72190476190477
Paper Sydney VII,2610.491666666667,133,60.26766917293234
Crimson Lagos,2607.6883333333335,101,80.68712871287129
The Circuit of Marseille,2593.5783333333334,106,63.55283018867925
Scarlet Sydney,2592.536666666667,89,61.58651685393258
Lost Frequency,2591.496666666667,119,63.67731092436975
Frozen Ledger IV,2589.375,269,68.753531598513
Forgotten Legacy II,2580.285,139,58.62158273381295
The Ledger of Mumbai,2572.125,142,61.6105633802817
Hollow Jakarta II,2571.69,233,62.713733905579396
Hidden Istanbul VI,2569.5266666666666,76,63.79342105263158
Savage Pact II,2567.6133333333332,1316,73.16519756838905
Gilded Cipher,2556.5916666666667,85,63.99529411764706
Frozen Affair III,2529.7366666666667,130,70.50923076923077
The Legacy of Berlin IV,2524.625,107,60.23831775700935
The Odyssey of Detroit III,2494.38,551,63.165517241379305
The Garden of Toronto,2490.5266666666666,123,81.8650406504065
The Cipher of Jakarta III,2485.8133333333335,52,73.17115384615384
Hollow Frequency II,2469.8433333333332,488,74.06618852459017
The Ledger of Bangkok V,2464.87,194,70.58505154639175
Brilliant Heist II,2438.8483333333334,171,82.28070175438596
The Circuit of Naples IV,2436.1133333333332,93,68.21182795698924
Iron Sydney V,2431.3816666666667,218,66.91651376146788
Neon Horizon,2431.17,1792,83.06171875
Endless Jakarta VII,2422.7716666666665,260,63.38846153846154
The Echoes of Istanbul,2415.4683333333332,141,66.92056737588652
Eternal Madrid II,2402.9866666666667,137,55.15985401459854
Detroit Kingdom IV,2402.5183333333334,103,56.887378640776696
Naples Tide IV,2398.52,84,73.125
Bogota Verdict,2375.991666666667,52,65.275
The Protocol of Jakarta VII,2367.785,164,66.025
Midnight Throne,2357.865,82,53.34634146341463
Jakarta Echoes IV,2355.575,82,62.81341463414634
Electric Hamburg,2344.5616666666665,265,70.21698113207547
Scarlet Madrid,2334.2616666666668,84,51.034523809523805
The Storm of Bangkok II,2322.403333333333,96,72.578125
Jakarta Shadows II,2318.5466666666666,59,61.4
The Harvest of Lisbon,2311.63,102,68.68137254901961
Iron Cipher,2311.3733333333334,168,56.61845238095238
Hidden Lisbon,2290.8366666666666,43,53.40930232558139
Lagos Requiem,2289.673333333333,55,72.28
Hamburg Ledger VI,2288.645,131,73.40534351145038
Frozen Toronto V,2279.0166666666664,87,71.4471264367816
Detroit Promise,2268.945,366,52.095901639344255
Bitter Lagos III,2259.1016666666665,83,69.19518072289156
Oslo Harvest IV,2258.4,86,66.98837209302326
Marseille Legacy,2251.4766666666665,53,57.07358490566038
Seoul Shadows III,2249.8133333333335,125,72.576
The Anatomy of Toronto,2246.4333333333334,167,77.61017964071856
Bitter Crown,2239.9766666666665,85,79.8564705882353
Tokyo Crown III,2231.7616666666668,69,71.08695652173913
Seoul Protocol II,2225.2233333333334,51,79.04509803921569
Berlin Tide,2206.5933333333332,132,68.22954545454544
Lost Berlin II,2201.8566666666666,89,59.17977528089887
Midnight Lighthouse,2195.1183333333333,176,76.04943181818182
Sydney Expedition V,2191.7516666666666,149,71.64026845637584
The Ledger of Toronto,2184.3650000000002,77,72.36493506493507
The Garden of Lagos III,2170.145,54,55.56481481481482
Bangkok Anatomy III,2162.565,106,75.0066037735849
Madrid Circuit II,2152.3,152,62.93223684210527
Silent Promise II,2151.825,66,77.62424242424242
Sacred Shadows,2148.13,106,51.698113207547166
Lagos Heist III,2147.4166666666665,147,66.40068027210884
Eternal Kingdom II,2131.8,146,74.4972602739726
Last Shadows,2124.0783333333334,124,67.70483870967742
Frozen Lisbon IV,2120.815,158,59.65506329113924
The Reckoning of Lagos III,2110.4216666666666,63,64.73650793650793
Phantom Horizon,2107.608333333333,74,71.91621621621621
Quiet Berlin,2098.693333333333,52,71.55961538461538
The Storm of Tokyo,2097.7516666666666,1366,65.34919472913616
Shattered Requiem II,2092.3166666666666,166,68.31506024096385
The Mirror of Istanbul II,2084.4783333333335,107,53.134579439252335
Whispering Syndicate,2079.02,67,75.9955223880597
The Anatomy of Sydney III,2063.6,68,60.6985294117647
Reckless River II,2057.431666666667,70,79.00571428571428
Quiet Shadows III,2050.608333333333,157,74.21910828025477
Paper Seoul,2042.425,86,69.03720930232558
Lost Detroit II,2038.1016666666667,85,77.35176470588235
Hollow Detroit IV,2026.5816666666667,56,69.2357142857143
